config,inner_subject,selected_epoch_1based,eeg_params,eeg_unreachable,total_params,image_params,epoch_seconds,step_ms,peak_gpu_mib,train_seconds,early_fused,fusion_wins_vs_atm,fusion_losses_vs_atm,top1_ts,top1_atm,top1_fused,top5_fused,oracle_top1,gain_over_best_branch,gain_over_mean_branch,prediction_agreement,cka_readout,distractor_complementarity_bonus,margin_ts,margin_atm,margin_fused,fusion_rescues,fusion_losses,overlap_both,overlap_ts_only,overlap_atm_only,overlap_neither,grad_T_norm_ratio_ts_atm,independent_fused,independent_ts,independent_atm,independent_ts_epoch_1based,independent_atm_epoch_1based,grad_T_cos,grad_T_early_cos,grad_T_late_cos,grad_T_negative_epoch_fraction,grad_S_cos,grad_S_early_cos,grad_S_late_cos,grad_S_negative_epoch_fraction,grad_S_norm_ratio_ts_atm,grad_R_cos,grad_R_early_cos,grad_R_late_cos,grad_R_negative_epoch_fraction,grad_R_norm_ratio_ts_atm
C0,3.0,37.0,416756.0,58292.0,1236212.0,819456.0,14.369138685862223,84.97512340545654,3647.12060546875,574.7655474344889,15.797979881366095,100.33333333333333,95.0,12.424242496490479,16.787878672281902,17.11111118396123,44.383837779363,23.535353938738506,0.3232325116793315,2.5050505995750427,17.111111680666607,0.6903253595034281,0.14272929231325784,-0.7469678521156311,-0.5400423208872477,-0.5007757941881815,36.666666666666664,142.66666666666666,5.676767676767677,6.747474747474747,11.111111111111109,76.46464646464646,3.230399255332222,17.777777777777775,12.484848484848484,16.68686868686869,12.666666666666666,39.0,,,,,,,,,,,,,,
C1,3.0,25.666666666666668,373888.0,1792.0,1193344.0,819456.0,15.009636771678926,90.41738510131836,3928.7482096354165,600.385470867157,15.818182130654654,106.33333333333333,99.66666666666667,9.838383893171946,16.262626151243847,16.66666716337204,41.414142648379006,22.323232889175415,0.40404101212819415,3.616162141164144,12.626262754201889,0.6355443795522054,0.1692932347456614,-0.7797724405924479,-0.5532684326171875,-0.4972272018591563,48.666666666666664,142.0,3.7777777777777772,6.060606060606061,12.484848484848484,77.67676767676768,1.7160039438070385,16.787878787878785,9.737373737373739,17.171717171717173,15.0,36.0,-0.008838388438646993,0.017857991705338156,0.0027121686997512973,0.525,0.011532306822094445,0.03569271669412652,0.005944914684320491,0.19999999999999998,0.8064567028801598,-0.001552236342880254,0.005301245946126679,-0.001230928472165639,0.5333333333333333,1.2959528720917342
C2,3.0,29.666666666666668,373576.0,1792.0,1193032.0,819456.0,15.055576225121817,90.64122041066487,3928.9163411458335,602.2230490048727,15.39393961429596,97.66666666666667,101.0,9.979797899723053,16.404040157794952,16.20202014843623,41.212121645609535,22.040403882662456,-0.20202000935872397,3.0101011196772256,13.010101268688837,0.6249319116274515,0.1728206823269526,-0.7910844882329305,-0.5433952112992605,-0.4944191674391429,48.0,144.33333333333334,4.343434343434343,5.636363636363637,12.06060606060606,77.95959595959596,1.9887178743359837,,,,,,0.057626760819305976,0.0233459950486819,0.07917166136205196,0.3333333333333333,0.020527404592527696,0.04971530733630062,0.012760198956045013,0.05833333333333333,0.8977865602956627,0.00044567853678017817,0.004895066817601521,5.145368554318897e-05,0.5166666666666667,1.2888517605608818
C3,3.0,29.333333333333332,364648.0,1792.0,1184104.0,819456.0,15.019912668069205,90.55304527282715,3928.1813151041665,600.7965067227682,14.54545482993126,101.66666666666667,110.33333333333333,9.555555631717047,16.565656661987305,16.04040463765462,42.04040467739105,21.636363863945007,-0.5252520243326823,2.979798490802447,14.161616315444311,0.6415388782819113,0.16586569945017496,-0.8062247037887573,-0.5342812339464823,-0.5043872694174448,52.333333333333336,144.66666666666666,4.484848484848485,5.07070707070707,12.080808080808081,78.36363636363637,1.9292996848140225,,,,,,0.06750940662187835,0.11623690997560819,0.05679662390922507,0.375,0.09860268118325621,0.14143601062397163,0.07858583531652888,0.0,0.7111322292348179,-0.0030917304729033888,-0.001053864968319734,-0.00219231316780982,0.5499999999999999,1.2720363642311807
C4,3.0,30.0,283264.0,1792.0,1102720.0,819456.0,15.0221713244915,90.5903975168864,3926.9449869791665,600.88685297966,15.535353620847067,101.33333333333333,103.33333333333333,9.656565636396408,16.343434154987335,16.222222646077473,42.28282868862152,21.818181375662487,-0.12121150890986125,3.2222227503856025,13.636363794406256,0.6157854000727335,0.1773111621538798,-0.8119891087214152,-0.5555407206217448,-0.5064537525177002,49.666666666666664,142.0,4.181818181818182,5.474747474747474,12.16161616161616,78.18181818181817,1.6688879690563898,,,,,,-0.004621280704935392,0.011298639227946604,0.006493838053817554,0.47500000000000003,0.01127772361699802,0.03564283100577692,0.006215351806022226,0.19166666666666665,0.8140150765857204,-0.0015196714500780217,0.0011869745360066496,-0.001472824409138411,0.5416666666666666,1.1505632571608488
C5,3.0,33.0,364336.0,1792.0,1183792.0,819456.0,15.083358766635259,90.60708681742351,3928.2711588541665,603.3343506654104,14.464646329482397,98.33333333333333,105.66666666666667,9.252525369326273,15.616161624590555,15.171717604001364,41.51515165964762,21.01010133822759,-0.4444440205891927,2.7373741070429483,12.525252749522528,0.6181996862093607,0.17821189761161804,-0.8285025159517924,-0.5500410596529642,-0.5110598901907603,50.666666666666664,147.0,3.858585858585858,5.3939393939393945,11.757575757575758,78.98989898989898,2.4007755706015916,,,,,,0.1389301998571803,0.17559976652264594,0.11261735073601205,0.21666666666666667,0.11000804823668053,0.14433751971771322,0.09296351703504722,0.0,0.9164617502038434,-0.0013202019090143345,0.0017011189305533964,-0.0011890877364203328,0.5083333333333333,1.2474014610549071
C6,3.0,33.666666666666664,273712.0,1792.0,1093168.0,819456.0,15.04001363515854,90.63963095347087,3926.8883463541665,601.6005454063416,14.54545482993126,98.33333333333333,110.0,9.31313137213389,16.080808142820995,15.373737613360086,41.39393965403239,21.373737355073292,-0.707070529460907,2.6767678558826447,12.222222238779068,0.6216294765472412,0.18221663932005563,-0.8468499779701233,-0.5560536483923594,-0.5192351738611857,46.0,145.0,4.020202020202021,5.292929292929293,12.06060606060606,78.62626262626263,2.5341911499257166,,,,,,0.14369533636607232,0.1927567584315936,0.1266150848877927,0.21666666666666665,0.10975611653877422,0.1438039471457402,0.09406039991726478,0.0,0.883131535963131,-0.004903111770739391,-0.0025207748264074324,-0.006688378280863011,0.6333333333333333,1.0891091804311743
C7,3.0,34.0,273152.0,1792.0,1092608.0,819456.0,15.699725951751072,93.67080529530843,4190.184244791667,627.989038070043,14.666666835546494,105.0,113.66666666666667,8.727272848288218,16.323232650756836,15.797979633013407,41.69696966807047,21.373737851778667,-0.5252530177434286,3.2727268834908805,11.696969717741013,0.6318984627723694,0.17994541426499686,-0.8472778995831808,-0.5317025283972422,-0.5095447997252146,50.666666666666664,142.66666666666666,3.676767676767677,5.050505050505051,12.646464646464645,78.62626262626263,1.5144274361547783,,,,,,0.19537576957605776,0.1482565485437711,0.21698071293532847,0.19166666666666665,0.10366108387475832,0.1407185888787111,0.09104580930667,0.016666666666666666,0.9107187711199423,0.0016585588257294146,0.0067195955477654945,-9.529158705845396e-06,0.4333333333333333,1.1210787146824297
C8,3.0,17.666666666666668,441825.0,0.0,1261281.0,819456.0,18.215622766812643,116.486390431722,4749.71435546875,728.6249106725057,15.313131362199783,83.66666666666667,83.66666666666667,10.161616404851278,15.3737373650074,15.3737373650074,41.1313126484553,21.111111342906952,0.0,2.6060604800780616,16.101010143756866,0.7089585264523824,0.14161197344462076,-0.7341986894607544,-0.623247762521108,-0.5371112525463104,31.333333333333332,126.0,4.424242424242425,5.737373737373737,10.949494949494948,78.8888888888889,0.7758128764567168,,,,,,0.03346941796752314,0.14788043330113096,-0.0021244324619571348,0.4583333333333333,,,,,,,,,,
C9,3.0,23.333333333333332,441489.0,0.0,1260945.0,819456.0,14.052845287322997,80.28213183085124,3868.9423828125,562.1138114929199,15.656565626462301,87.66666666666667,90.0,9.797979891300201,16.626262664794922,16.484848658243816,41.97979768117269,21.83838387330373,-0.14141400655110678,3.2727273801962533,15.69697012503942,0.6907148361206055,0.15150795380274454,-0.7630502382914225,-0.6059576471646627,-0.5329959889252981,38.333333333333336,126.66666666666667,4.585858585858586,5.212121212121213,12.040404040404042,78.16161616161617,0.8016707570082643,,,,,,0.30455364304594695,0.49730955580870306,0.26469566350802776,0.041666666666666664,,,,,,,,,,
