config,description,slot,inner_subject,selected_epoch_1based,eeg_params,eeg_unreachable,total_params,image_params,epoch_seconds,step_ms,peak_gpu_mib,train_seconds,early_fused,fusion_wins_vs_atm,fusion_losses_vs_atm,top1_ts,top1_atm,top1_fused,top5_fused,oracle_top1,gain_over_best_branch,gain_over_mean_branch,prediction_agreement,cka_readout,distractor_complementarity_bonus,margin_ts,margin_atm,margin_fused,fusion_rescues,fusion_losses,overlap_both,overlap_ts_only,overlap_atm_only,overlap_neither,grad_T_norm_ratio_ts_atm,independent_fused,independent_ts,independent_atm,independent_ts_epoch_1based,independent_atm_epoch_1based,grad_T_cos,grad_T_early_cos,grad_T_late_cos,grad_T_negative_epoch_fraction,grad_S_cos,grad_S_early_cos,grad_S_late_cos,grad_S_negative_epoch_fraction,grad_S_norm_ratio_ts_atm,grad_R_cos,grad_R_early_cos,grad_R_late_cos,grad_R_negative_epoch_fraction,grad_R_norm_ratio_ts_atm
C0,Native independent,1,2,34,416756,58292,1236212,819456,14.336237531900405,84.8456621170044,3647.62060546875,573.4495012760162,18.666666746139526,104,103,14.787879586219788,20.000000298023224,20.06060630083084,50.60606002807617,27.212122082710266,0.06060600280761719,2.6666663587093353,18.18181872367859,0.7244963645935059,0.12636634707450867,-0.5972835421562195,-0.44461750984191895,-0.39458417892456055,35,153,7.575757575757576,7.212121212121213,12.424242424242424,72.7878787878788,3.2268066035010436,21.515151515151516,14.666666666666666,19.696969696969695,16,40,,,,,,,,,,,,,,
C1,Compatible independent,1,2,34,373888,1792,1193344,819456,14.933384716510773,90.23427963256836,3928.88330078125,597.3353886604309,18.303030729293823,120,122,11.75757572054863,20.424242317676544,20.30303031206131,48.2424259185791,27.272728085517883,-0.12121200561523438,4.212121292948723,13.333334028720856,0.6464429497718811,0.15997102856636047,-0.7028110027313232,-0.4260084629058838,-0.40443870425224304,54,169,4.909090909090909,6.848484848484848,15.515151515151516,72.72727272727273,1.723509066987043,19.393939393939394,10.545454545454545,20.424242424242426,22,34,-0.011828091414645315,-0.02157749310135841,-0.0014175980724394333,0.6,0.005447399681434035,0.027452675318345422,-0.0001143103535287084,0.325,0.8559452592955102,0.0006117754447041081,0.006760731451213359,0.0009952520835213364,0.525,1.2982891231919043
C2,Shared temporal,1,2,34,373576,1792,1193032,819456,15.128481084108353,90.728759765625,3929.4033203125,605.1392433643341,17.93939471244812,107,126,10.90909093618393,19.939394295215607,18.78787875175476,47.39393889904022,25.939393043518066,-1.151515543460846,3.3636361360549927,12.484848499298096,0.645958662033081,0.15791212022304535,-0.6875978112220764,-0.43256089091300964,-0.4021672308444977,53,171,4.909090909090909,6.0,15.03030303030303,74.06060606060606,2.0769548485563405,,,,,,0.045956978276371956,-0.05152358591556548,0.08026654960587622,0.325,0.017232419612118972,0.044830373693257576,0.010329605557490141,0.075,0.9305953187386221,-0.0017815747612621637,0.0016488420264795418,-0.0027316502830944966,0.6,1.2876658020199574
C3,Shared spatial,1,2,34,364648,1792,1184104,819456,15.010161656141282,90.48998355865479,3927.4755859375,600.4064662456512,16.48484915494919,112,125,10.90909093618393,20.242424309253693,19.45454627275467,48.96969795227051,25.39393901824951,-0.7878780364990234,3.878788650035858,13.757576048374176,0.6450892686843872,0.15882539749145508,-0.7105212807655334,-0.4158358573913574,-0.40435317158699036,60,158,5.757575757575758,5.151515151515151,14.484848484848484,74.60606060606061,2.095118587676933,,,,,,0.06682289239019155,0.07804854243993758,0.07442643191665411,0.4,0.08886224696412683,0.11786852534860373,0.0767743272241205,0.0,0.6963366375600815,0.0024588856281479816,0.0011457503587007523,0.002668732751626521,0.475,1.2814067915506033
C4,Shared readout,1,2,34,283264,1792,1102720,819456,14.990793162584305,90.553879737854,3926.2392578125,599.6317265033722,18.78787875175476,116,127,11.151514947414398,20.363636314868927,19.696970283985138,48.363637924194336,26.242423057556152,-0.6666660308837891,3.9393946528434753,13.45454603433609,0.638030469417572,0.16584935784339905,-0.7227820158004761,-0.43731409311294556,-0.41419869661331177,57,165,5.2727272727272725,5.878787878787879,15.090909090909092,73.75757575757575,1.6815727518955144,,,,,,-0.004462158251553774,-0.0380552239716053,0.006571401869878176,0.525,0.004185992121929303,0.02458637297153473,-0.0007941056950949126,0.325,0.873279407056063,8.307820244226812e-06,-0.0003046651184558863,0.00034971523273270584,0.45,1.1607793992436715
C5,Shared temporal + spatial,1,2,34,364336,1792,1183792,819456,14.994801235198974,90.54231643676758,3927.4677734375,599.792049407959,17.27272719144821,111,116,10.303030163049698,18.242424726486206,17.93939471244812,47.999998927116394,24.12121295928955,-0.30303001403808594,3.666667267680168,12.363636493682861,0.6297791600227356,0.16234004497528076,-0.7249330282211304,-0.43031197786331177,-0.4152824580669403,54,156,4.424242424242424,5.878787878787879,13.818181818181818,75.87878787878788,2.3152200705946044,,,,,,0.12917517388239502,0.1275793159008026,0.09371630486100911,0.25,0.10676138130016626,0.13197803221642973,0.09428183322772384,0.0,0.900385347481538,-0.0020616641832748427,-0.0018378079123795034,-0.003182363683590665,0.525,1.250198168854255
C6,Shared conv + readout,1,2,34,273712,1792,1093168,819456,15.016830068826675,90.61193466186523,3926.0849609375,600.673202753067,17.27272719144821,120,127,10.363636165857315,18.969696760177612,18.545454740524292,47.45454490184784,24.60606098175049,-0.4242420196533203,3.8787882775068283,12.727272510528564,0.6327255368232727,0.16454069316387177,-0.7369354963302612,-0.43508848547935486,-0.4214712977409363,59,159,4.7272727272727275,5.636363636363637,14.242424242424242,75.39393939393939,2.402025979714046,,,,,,0.13055588716641067,0.15099944412708283,0.11154207751154899,0.225,0.10564031244721264,0.12845467161387206,0.09551692808046935,0.0,0.8651801408662724,-0.004570743811927969,-0.0051283292286098,-0.007456822869426105,0.625,1.0839090604314578
C7,Shared normalization too,1,2,34,273152,1792,1092608,819456,15.66164601445198,93.67692470550537,4189.68115234375,626.4658405780792,16.84848517179489,110,134,9.212121367454529,19.63636428117752,18.18181872367859,46.72727286815643,24.727272987365723,-1.4545455574989319,3.757575899362564,10.969696938991547,0.6362307071685791,0.17225025594234467,-0.7591856122016907,-0.43187496066093445,-0.4232800304889679,54,162,4.121212121212121,5.090909090909091,15.515151515151516,75.27272727272727,1.5642227446826271,,,,,,0.21897846166044474,0.24169903457164765,0.19633581120520827,0.15,0.10971977471373977,0.1369695267826319,0.1006763680279255,0.0,0.9626056373704361,0.0028561334178084504,0.0064755984768271446,0.0005870771687477828,0.35,1.1414871634263675
C8,"Attention after stem, independent",1,2,21,441825,0,1261281,819456,18.14858775138855,116.42932891845703,4749.333984375,725.943510055542,17.878788709640503,93,112,10.48484891653061,19.21212077140808,18.060606718063354,47.21212089061737,24.96969699859619,-1.1515140533447266,3.2121218740940094,15.757575631141663,0.7177450656890869,0.136882483959198,-0.6547502279281616,-0.4971376061439514,-0.4390614330768585,40,154,4.7272727272727275,5.757575757575758,14.484848484848484,75.03030303030303,0.7562746247864431,,,,,,0.016351447785273195,0.12195572018623353,-0.04344798346981406,0.55,,,,,,,,,,
C9,Compute stem once,1,2,21,441489,0,1260945,819456,14.0253224670887,80.25860786437988,3868.69482421875,561.012898683548,17.75757521390915,90,107,10.66666692495346,19.2727267742157,18.242424726486206,47.333332896232605,24.909090995788574,-1.0303020477294922,3.2727278769016266,15.757575631141663,0.7232281565666199,0.13946384191513062,-0.6534677147865295,-0.49707210063934326,-0.4358060657978058,40,150,5.03030303030303,5.636363636363637,14.242424242424242,75.09090909090908,0.822669166883205,,,,,,0.3151956548914313,0.5057723462581635,0.27409253813326356,0.025,,,,,,,,,,
C0,Native independent,2,3,39,416756,58292,1236212,819456,14.320440155267715,84.91945266723633,3646.40185546875,572.8176062107086,11.878787726163864,96,99,9.696969389915466,14.666666090488434,14.484848082065582,40.66666662693024,20.242424309253693,-0.18181800842285156,2.303030341863632,15.272727608680725,0.6434897780418396,0.17018261551856995,-0.8888648748397827,-0.588222086429596,-0.5683608651161194,45,140,4.121212121212121,5.575757575757575,10.545454545454545,79.75757575757576,3.28814595206901,15.515151515151516,9.151515151515152,14.666666666666666,16,39,,,,,,,,,,,,,,
C1,Compatible independent,2,3,25,373888,1792,1193344,819456,14.999965226650238,90.37387371063232,3928.50146484375,599.9986090660095,12.848484516143799,92,101,7.090909034013748,13.939394056797028,13.393940031528473,36.06060743331909,18.727272748947144,-0.5454540252685547,2.878788486123085,9.81818214058876,0.5904646515846252,0.20276916027069092,-0.9108002185821533,-0.6633821725845337,-0.5843220353126526,47,135,2.3030303030303028,4.787878787878788,11.636363636363637,81.27272727272728,1.635682110291188,14.545454545454545,8.0,15.090909090909092,5,38,0.005976885948330164,0.0821264949440956,0.012918766252696515,0.45,0.011978527419269086,0.035378417288884516,0.007232399221975357,0.175,0.8213208210489537,-0.0077632658631773665,0.0004941968759521841,-0.008178299099672584,0.7,1.2816237255199714
C2,Shared temporal,2,3,38,373576,1792,1193032,819456,14.925797539949418,90.38817882537842,3928.49365234375,597.0319015979767,12.242424488067627,93,105,7.9393938183784485,14.5454540848732,13.818182051181793,37.272727489471436,19.151514768600464,-0.7272720336914062,2.5757580995559692,11.696969717741013,0.5571746230125427,0.21037855744361877,-0.9595824480056763,-0.6199488043785095,-0.5793870687484741,50,138,3.3333333333333335,4.6060606060606055,11.212121212121213,80.84848484848484,1.9919928218827707,,,,,,0.08083522398024798,0.0702708101272583,0.09041491892188787,0.3,0.020223545655608178,0.04879781784489751,0.012265050807036458,0.025,0.9429390565312031,-0.0023314257367746906,0.002219926812686026,-0.003164221371989697,0.625,1.287319796127393
C3,Shared spatial,2,3,36,364648,1792,1184104,819456,14.983602011203766,90.44206142425537,3928.35498046875,599.3440804481506,11.818181723356247,95,129,7.757575809955597,15.39393961429596,13.333334028720856,38.18181753158569,20.000000298023224,-2.0606055855751038,1.7575763165950775,11.75757572054863,0.5859382152557373,0.20178115367889404,-0.9730069041252136,-0.6107744574546814,-0.5901095271110535,52,162,3.151515151515152,4.6060606060606055,12.242424242424242,80.0,1.7796034286280622,,,,,,0.08058335452340543,0.11414471089839935,0.05450679747387767,0.3,0.10024121822323648,0.1442510476708412,0.0785782625991851,0.0,0.6573667176687048,-0.008536776073160581,-0.006494384771212935,-0.007394455778412523,0.6,1.2880197823966462
C4,Shared readout,2,3,38,283264,1792,1102720,819456,15.012581658363342,90.62254428863525,3927.11865234375,600.5032663345337,12.60606050491333,99,104,6.969697028398514,14.060606062412262,13.757576048374176,37.939393520355225,18.36363673210144,-0.30303001403808594,3.242424502968788,11.515151709318161,0.5480971336364746,0.2142200767993927,-0.9689053893089294,-0.644656777381897,-0.5925610065460205,57,133,2.666666666666667,4.303030303030303,11.393939393939394,81.63636363636364,1.5606672859883022,,,,,,0.008606112021952867,0.0667853893339634,0.0179826856777072,0.45,0.012405260335654021,0.03534222339279949,0.00858953510178253,0.175,0.8224624415860881,-0.005696576535410713,-0.0026308090984821317,-0.006172745797084644,0.75,1.132858049801505
C5,Shared temporal + spatial,2,3,36,364336,1792,1183792,819456,15.150163346529007,90.63959121704102,3928.64013671875,606.0065338611603,11.636363714933395,85,118,7.515151798725128,14.424242079257965,12.424242496490479,36.424243450164795,19.21212077140808,-1.9999995827674866,1.4545455574989319,9.878788143396378,0.5809831619262695,0.21098092198371887,-0.9814241528511047,-0.6365243196487427,-0.5979933142662048,44,156,2.727272727272727,4.787878787878788,11.696969696969697,80.78787878787878,2.374988540992067,,,,,,0.16147702030837535,0.178633679151535,0.1520993486046791,0.175,0.11569763653911651,0.15021194338798521,0.0955358210578561,0.0,0.8591013233322524,-0.007074872120283545,0.0005621165037155155,-0.007242065628524868,0.65,1.2629960303221417
